"master_id","et_column_id","et_column_name","et_data_type","op_colume_id","op_column_name","op_data_type","entry_order","pk_flg"
"bumon_kamoku_zandaka","kamoku_gaibu_cd","科目外部コード","varchar","KCOD","科目外部コード","char",2,"1"
"bumon_kamoku_zandaka","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",3,"0"
"bumon_kamoku_zandaka","kamoku_naibu_cd","科目内部コード","varchar","KICD","科目内部コード","char",4,"0"
"bumon_kamoku_zandaka","futan_bumon_name","負担部門名","varchar","BNAM","部門名称","char",5,"0"
"bumon_kamoku_zandaka","chouhyou_shaturyoku_no","帳票出力順番号","smallint","KOCD","帳表出力順No","smallint",6,"0"
"bumon_kamoku_zandaka","kamoku_name_ryakushiki","科目名（略式）","varchar","KNMX","科目名称(略式)","char",7,"0"
"bumon_kamoku_zandaka","kamoku_name_seishiki","科目名（正式）","varchar","KNAM","科目名称(正式)","char",8,"0"
"bumon_kamoku_zandaka","taishaku_zokusei","貸借属性","smallint","KATT","貸借属性","smallint",9,"0"
"bumon_kamoku_zandaka","kishu_zandaka","期首残高","decimal","K000","期首残高","numeric",10,"0"
"torihikisaki_master","torihikisaki_cd","取引先コード","varchar","TRCD","取引先コード","char",1,"1"
"torihikisaki_master","torihikisaki_name_ryakushiki","取引先名（略式）","varchar","TRMX","取引先名称（略式）","char",2,"0"
"torihikisaki_master","torihikisaki_name_seishiki","取引先名（正式）","varchar","TRNAM","取引先名称（正式）","char",3,"0"
"torihikisaki","torihikisaki_cd","取引先コード","varchar","TRCD","取引先コード","char",1,"1"
"torihikisaki","yuubin_bangou","郵便番号","varchar","ZIP","郵便番号","char",2,"0"
"torihikisaki","juusho1","住所１","varchar","ADDR1","住所１","char",3,"0"
"torihikisaki","juusho2","住所２","varchar","ADDR2","住所２","char",4,"0"
"torihikisaki","telno","電話番号","varchar","TEL","電話番号","char",5,"0"
"torihikisaki","faxno","FAX番号","varchar","FAX","FAX番号","char",6,"0"
"torihikisaki","kouza_meiginin","口座名義人","varchar","MEIGI","名義人","char",7,"0"
"torihikisaki","kouza_meiginin_furigana","口座名義人ふり仮名","varchar","MEIGIK","名義人（カナ）","char",8,"0"
"torihikisaki","shiharai_shubetsu","支払種別","smallint","SKBKIND","支払種別","smallint",9,"0"
"torihikisaki","yokin_shubetsu","預金種別","varchar","YOKIN_TYP","口座種別","char",10,"0"
"torihikisaki","kouza_bangou","口座番号","varchar","KOUZA","口座番号","char",11,"0"
"torihikisaki","tesuuryou_futan_kbn","手数料負担区分","smallint","TESUU","手数料負担区分","smallint",12,"0"
"torihikisaki","furikomi_kbn","振込区分","varchar","SOUKIN","送金区分","char",13,"0"
"torihikisaki","furikomi_ginkou_cd","振込銀行コード","varchar","BANK_CD","銀行コード","char",14,"0"
"torihikisaki","furikomi_ginkou_shiten_cd","振込銀行支店コード","varchar","SITEN_ID","銀行支店コード","char",15,"0"
"torihikisaki","shiharaibi","支払日","smallint","SIHARAIDD","支払日","smallint",16,"0"
"torihikisaki","shiharai_kijitsu","支払期日","smallint","SKIJITUDD","支払期日","smallint",17,"0"
"torihikisaki","yakujou_kingaku","約定金額","decimal","V_YAKUJO","約定金額","numeric",18,"0"
"torihikisaki_kamoku_zandaka","torihikisaki_cd","取引先コード","varchar","TRCD","取引先コード","char",1,"1"
"torihikisaki_kamoku_zandaka","kamoku_gaibu_cd","科目外部コード","varchar","KCOD","科目外部コード","char",2,"1"
"torihikisaki_kamoku_zandaka","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",3,"0"
"torihikisaki_kamoku_zandaka","kamoku_naibu_cd","科目内部コード","varchar","KICD","科目内部コード","char",4,"0"
"torihikisaki_kamoku_zandaka","torihikisaki_name_ryakushiki","取引先名（略式）","varchar","TRMX","取引先名称（略式）","char",5,"0"
"torihikisaki_kamoku_zandaka","torihikisaki_name_seishiki","取引先名（正式）","varchar","TRNAM","取引先名称（正式）","char",6,"0"
"torihikisaki_kamoku_zandaka","chouhyou_shaturyoku_no","帳票出力順番号","smallint","KOCD","帳表出力順No","smallint",7,"0"
"torihikisaki_kamoku_zandaka","kamoku_name_ryakushiki","科目名（略式）","varchar","KNMX","科目名称(略式)","char",8,"0"
"torihikisaki_kamoku_zandaka","kamoku_name_seishiki","科目名（正式）","varchar","KNAM","科目名称(正式)","char",9,"0"
"torihikisaki_kamoku_zandaka","taishaku_zokusei","貸借属性","smallint","KATT","貸借属性","smallint",10,"0"
"torihikisaki_kamoku_zandaka","kishu_zandaka","期首残高","decimal","K000","期首残高","numeric",11,"0"
"hf1_ichiran","hf1_cd","hf1コード","varchar","HF1CD","HFコード","char",1,"1"
"hf1_ichiran","hf1_name_ryakushiki","hf1名（略式）","varchar","HF1NR","HF名称（略式）","char",2,"0"
"hf1_ichiran","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",3,"0"
"hf2_ichiran","hf2_cd","hf2コード","varchar","HF2CD","HFコード","char",1,"1"
"hf2_ichiran","hf2_name_ryakushiki","hf2名（略式）","varchar","HF2NR","HF名称（略式）","char",2,"0"
"hf2_ichiran","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",3,"0"
"hf3_ichiran","hf3_cd","hf3コード","varchar","HF3CD","HFコード","char",1,"1"
"hf3_ichiran","hf3_name_ryakushiki","hf3名（略式）","varchar","HF3NR","HF名称（略式）","char",2,"0"
"hf3_ichiran","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",3,"0"
"uf1_ichiran","uf1_cd","UF1コード","varchar","UF1CD","UF1コード","char",1,"1"
"uf1_ichiran","uf1_name_ryakushiki","UF1名（略式）","varchar","UF1NR","UF1名称（略式）","char",2,"0"
"uf1_ichiran","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",3,"0"
"uf1_zandaka","uf1_cd","UF1コード","varchar","UF1CD","UF1コード","char",1,"1"
"uf1_zandaka","kamoku_gaibu_cd","科目外部コード","varchar","KCOD","科目外部コード","char",2,"1"
"uf1_zandaka","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",3,"0"
"uf1_zandaka","kamoku_naibu_cd","科目内部コード","varchar","KICD","科目内部コード","char",4,"0"
"uf1_zandaka","uf1_name_ryakushiki","UF1名（略式）","varchar","UF1NR","ＵＦ1名称（略式）","char",5,"0"
"uf1_zandaka","chouhyou_shaturyoku_no","帳票出力順番号","smallint","KOCD","帳表出力順No","smallint",7,"0"
"uf1_zandaka","kamoku_name_ryakushiki","科目名（略式）","varchar","KNMX","科目名称(略式)","char",8,"0"
"uf1_zandaka","kamoku_name_seishiki","科目名（正式）","varchar","KNAM","科目名称(正式)","char",9,"0"
"uf1_zandaka","taishaku_zokusei","貸借属性","smallint","KATT","貸借属性","smallint",10,"0"
"uf1_zandaka","kishu_zandaka","期首残高","decimal","K000","期首残高","numeric",11,"0"
"uf2_ichiran","uf2_cd","UF2コード","varchar","UF2CD","UF２コード","char",1,"1"
"uf2_ichiran","uf2_name_ryakushiki","UF2名（略式）","varchar","UF2NR","UF２名称（略式）","char",2,"0"
"uf2_ichiran","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",3,"0"
"uf2_zandaka","uf2_cd","UF2コード","varchar","UF2CD","UF２コード","char",1,"1"
"uf2_zandaka","kamoku_gaibu_cd","科目外部コード","varchar","KCOD","科目外部コード","char",2,"1"
"uf2_zandaka","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",3,"0"
"uf2_zandaka","kamoku_naibu_cd","科目内部コード","varchar","KICD","科目内部コード","char",4,"0"
"uf2_zandaka","uf2_name_ryakushiki","UF2名（略式）","varchar","UF2NR","ＵＦ２名称（略式）","char",5,"0"
"uf2_zandaka","chouhyou_shaturyoku_no","帳票出力順番号","smallint","KOCD","帳表出力順No","smallint",7,"0"
"uf2_zandaka","kamoku_name_ryakushiki","科目名（略式）","varchar","KNMX","科目名称(略式)","char",8,"0"
"uf2_zandaka","kamoku_name_seishiki","科目名（正式）","varchar","KNAM","科目名称(正式)","char",9,"0"
"uf2_zandaka","taishaku_zokusei","貸借属性","smallint","KATT","貸借属性","smallint",10,"0"
"uf2_zandaka","kishu_zandaka","期首残高","decimal","K000","期首残高","numeric",11,"0"
"uf3_ichiran","uf3_cd","UF3コード","varchar","UF3CD","UF３コード","char",1,"1"
"uf3_ichiran","uf3_name_ryakushiki","UF3名（略式）","varchar","UF3NR","UF３名称（略式）","char",2,"0"
"uf3_ichiran","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",3,"0"
"uf3_zandaka","uf3_cd","UF3コード","varchar","UF3CD","UF３コード","char",1,"1"
"uf3_zandaka","kamoku_gaibu_cd","科目外部コード","varchar","KCOD","科目外部コード","char",2,"1"
"uf3_zandaka","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",3,"0"
"uf3_zandaka","kamoku_naibu_cd","科目内部コード","varchar","KICD","科目内部コード","char",4,"0"
"uf3_zandaka","uf3_name_ryakushiki","UF3名（略式）","varchar","UF3NR","ＵＦ３名称（略式）","char",5,"0"
"uf3_zandaka","chouhyou_shaturyoku_no","帳票出力順番号","smallint","KOCD","帳表出力順No","smallint",7,"0"
"uf3_zandaka","kamoku_name_ryakushiki","科目名（略式）","varchar","KNMX","科目名称(略式)","char",8,"0"
"uf3_zandaka","kamoku_name_seishiki","科目名（正式）","varchar","KNAM","科目名称(正式)","char",9,"0"
"uf3_zandaka","taishaku_zokusei","貸借属性","smallint","KATT","貸借属性","smallint",10,"0"
"uf3_zandaka","kishu_zandaka","期首残高","decimal","K000","期首残高","numeric",11,"0"
"kaisha_info","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",1,"1"
"kaisha_info","hf1_shiyou_flg","ヘッダーフィールド1使用フラグ","smallint","DUF1FLG","HF1コード使用ﾌﾗｸﾞ","smallint",2,"0"
"kaisha_info","hf1_hissu_flg","ヘッダーフィールド1必須フラグ","varchar","HISSU1FLG","HF1必須フラグ","int",3,"0"
"kaisha_info","hf1_name","ヘッダーフィールド1名称","varchar","DUF1NM","HF1コード名称","char",4,"0"
"kaisha_info","hf2_shiyou_flg","ヘッダーフィールド2使用フラグ","smallint","DUF2FLG","HF2コード使用ﾌﾗｸﾞ","smallint",5,"0"
"kaisha_info","hf2_hissu_flg","ヘッダーフィールド2必須フラグ","varchar","HISSU2FLG","HF2必須フラグ","int",6,"0"
"kaisha_info","hf2_name","ヘッダーフィールド2名称","varchar","DUF2NM","HF2コード名称","char",7,"0"
"kaisha_info","hf3_shiyou_flg","ヘッダーフィールド3使用フラグ","smallint","DUF3FLG","HF3コード使用ﾌﾗｸﾞ","smallint",8,"0"
"kaisha_info","hf3_hissu_flg","ヘッダーフィールド3必須フラグ","varchar","HISSU3FLG","HF3必須フラグ","int",9,"0"
"kaisha_info","hf3_name","ヘッダーフィールド3名称","varchar","DUF3NM","HF3コード名称","char",10,"0"
"kaisha_info","uf1_shiyou_flg","ユニバーサルフィールド1使用フラグ","smallint","D1FLG","UF１コード使用ﾌﾗｸﾞ","smallint",11,"0"
"kaisha_info","uf1_name","ユニバーサルフィールド1名称","varchar","D1NM","UF１コード名称","char",12,"0"
"kaisha_info","uf2_shiyou_flg","ユニバーサルフィールド2使用フラグ","smallint","D2FLG","UF２コード使用ﾌﾗｸﾞ","smallint",13,"0"
"kaisha_info","uf2_name","ユニバーサルフィールド2名称","varchar","D2NM","UF２コード名称","char",14,"0"
"kaisha_info","uf3_shiyou_flg","ユニバーサルフィールド3使用フラグ","smallint","D3FLG","UF３コード使用ﾌﾗｸﾞ","smallint",15,"0"
"kaisha_info","uf3_name","ユニバーサルフィールド3名称","varchar","D3NM","UF３コード名称","char",16,"0"
"kaisha_info","pjcd_shiyou_flg","プロジェクトコード使用フラグ","smallint","PJFLG","プロジェクト使用フラグ","smallint",17,"0"
"project_master","project_cd","プロジェクトコード","varchar","PRJECT","ﾌﾟﾛｼﾞｪｸﾄｺｰﾄﾞ","char",1,"1"
"project_master","project_name","プロジェクト名","varchar","PRJNAMS","ﾌﾟﾛｼﾞｪｸﾄ名称（略式）","char",2,"0"
"extension_setting","extension_cd","拡張子コード","varchar","EXTENSION","KEY名②","char",1,"1"
"extension_setting","extension_flag","有効フラグ","varchar","EXTFLG","数値データ","int",2,"0"
